"","X1","sexo2","cause_r","educ_r","age_r","location_r","random_number"
"19283",19283,"Men","Knife","High School or more","45-69","Home",24627
"19284",19284,"Men","Firearm","High School or more","20-29","Street",28133
"19285",19285,"Men","Firearm","Middle school","30-44","Street",30897
"19286",19286,"Men","Firearm","High School or more","45-69","Street",26300
"19287",19287,"Men","Firearm","Middle school","20-29","Street",10185
"19288",19288,"Women","Firearm","Middle school","20-29","Street",31023
"19289",19289,"Men","Firearm","High School or more","30-44","Other",2744
"19290",19290,"Men","Firearm","Middle school","20-29","Street",16000
"19291",19291,"Men","Non-specified means","High School or more","45-69","Other",20767
"19292",19292,"Men","Firearm","Middle school","30-44","Other",24011
"19293",19293,"Men","Firearm","Middle school","30-44","Other",25713
"19294",19294,"Men","Firearm","Middle school","20-29","Street",9149
"19295",19295,"Women","Other","Middle school","30-44","Home",7961
"19296",19296,"Men","Firearm","High School or more","30-44","Home",30510
"19297",19297,"Men","Other","Middle school","0-19","Street",29228
"19298",19298,"Men","Knife","High School or more","30-44","Home",14593
"19299",19299,"Men","Knife","Primary or less","69 +","Other",16291
"19300",19300,"Men","Firearm","Primary or less","69 +","Other",28701
"19301",19301,"Men","Knife","Primary or less","69 +","Other",7026
"19302",19302,"Men","Firearm","Middle school","45-69","Other",16882
"19303",19303,"Men","Firearm","Middle school","45-69","Other",15997
"19304",19304,"Women","Firearm","Middle school","45-69","Other",21840
"19305",19305,"Men","Firearm","High School or more","45-69","Street",7012
"19306",19306,"Men","Firearm","Middle school","20-29","Street",329
"19307",19307,"Men","Firearm","Middle school","30-44","Other",27547
"19308",19308,"Men","Firearm","Middle school","30-44","Street",13467
"19309",19309,"Men","Knife","High School or more","30-44","Other",19616
"19310",19310,"Men","Firearm","Primary or less","20-29","Street",28468
"19311",19311,"Men","Firearm","High School or more","20-29","Street",14847
"19312",19312,"Men","Firearm","Middle school","20-29","Street",18809
"19313",19313,"Men","Firearm","High School or more","45-69","Street",19914
"19314",19314,"Men","Firearm","High School or more","30-44","Street",4818
"19315",19315,"Men","Firearm","High School or more","45-69","Home",24843
"19316",19316,"Men","Firearm","Middle school","30-44","Other",9756
"19317",19317,"Women","Other","High School or more","20-29","Street",19317
"19318",19318,"Men","Knife","High School or more","30-44","Street",29979
"19319",19319,"Men","Other","Middle school","45-69","Street",24568
"19320",19320,"Men","Knife","High School or more","20-29","Street",9750
"19321",19321,"Men","Firearm","Middle school","45-69","Street",29382
"19322",19322,"Men","Firearm","High School or more","30-44","Other",23616
"19323",19323,"Men","Firearm","High School or more","30-44","Other",16168
"19324",19324,"Men","Firearm","High School or more","45-69","Street",8881
"19325",19325,"Men","Firearm","Primary or less","30-44","Street",8074
"19326",19326,"Men","Firearm","High School or more","30-44","Street",3622
"19327",19327,"Men","Firearm","High School or more","30-44","Street",15023
"19328",19328,"Men","Firearm","High School or more","20-29","Street",21873
"19329",19329,"Men","Non-specified means","High School or more","0-19","Other",17095
"19330",19330,"Men","Firearm","High School or more","0-19","Street",13962
"19331",19331,"Men","Firearm","High School or more","30-44","Street",19455
"19332",19332,"Men","Firearm","Middle school","30-44","Street",8309
"19333",19333,"Men","Firearm","Middle school","0-19","Street",17523
"19334",19334,"Men","Firearm","High School or more","30-44","Street",13975
"19335",19335,"Men","Non-specified means","Middle school","20-29","Other",13920
"19336",19336,"Men","Firearm","High School or more","30-44","Street",24246
"19337",19337,"Men","Non-specified means","Middle school","45-69","Home",23354
"19338",19338,"Men","Firearm","High School or more","20-29","Other",14003
"19339",19339,"Men","Firearm","Middle school","45-69","Street",2901
"19340",19340,"Men","Knife","Middle school","69 +","Home",24891
"19341",19341,"Men","Firearm","High School or more","30-44","Street",10371
"19342",19342,"Men","Firearm","High School or more","20-29","Street",24470
"19343",19343,"Men","Firearm","Middle school","0-19","Street",27532
"19344",19344,"Men","Firearm","Middle school","20-29","Street",26271
"19345",19345,"Men","Firearm","Primary or less","30-44","Other",18542
"19346",19346,"Women","Firearm","Primary or less","45-69","Other",17730
"19347",19347,"Women","Firearm","High School or more","30-44","Other",17199
"19348",19348,"Men","Firearm","Middle school","30-44","Street",28946
"19349",19349,"Men","Firearm","High School or more","20-29","Street",31565
"19350",19350,"Men","Firearm","High School or more","20-29","Street",29238
"19351",19351,"Men","Firearm","High School or more","45-69","Other",3195
"19352",19352,"Women","Firearm","Primary or less","45-69","Other",25002
"19353",19353,"Men","Firearm","High School or more","20-29","Other",30060
"19354",19354,"Men","Firearm","Primary or less","45-69","Street",22107
"19355",19355,"Men","Firearm","High School or more","20-29","Street",23387
"19356",19356,"Men","Firearm","High School or more","45-69","Street",2935
"19357",19357,"Men","Firearm","High School or more","45-69","Street",684
"19358",19358,"Men","Firearm","Middle school","20-29","Street",7232
"19359",19359,"Men","Firearm","Middle school","0-19","Street",15212
"19360",19360,"Men","Knife","High School or more","30-44","Street",28680
"19361",19361,"Men","Non-specified means","High School or more","45-69","Other",19934
"19362",19362,"Men","Firearm","Middle school","20-29","Street",24525
"19363",19363,"Men","Firearm","High School or more","45-69","Street",31757
"19364",19364,"Men","Firearm","Primary or less","30-44","Street",4510
"19365",19365,"Men","Firearm","Middle school","20-29","Street",22880
"19366",19366,"Men","Asphyxiation","High School or more","30-44","Home",17614
"19367",19367,"Men","Firearm","Primary or less","30-44","Street",2323
"19368",19368,"Men","Firearm","Middle school","30-44","Other",23290
"19369",19369,"Men","Firearm","High School or more","30-44","Other",21509
"19370",19370,"Men","Firearm","High School or more","0-19","Other",14405
"19371",19371,"Women","Firearm","High School or more","0-19","Street",23590
"19372",19372,"Women","Non-specified means","High School or more","45-69","Street",9751
"19373",19373,"Men","Firearm","High School or more","20-29","Street",14910
"19374",19374,"Men","Firearm","Middle school","30-44","Other",8686
"19375",19375,"Men","Non-specified means","High School or more","30-44","Other",3976
"19376",19376,"Men","Firearm","High School or more","20-29","Street",7820
"19377",19377,"Men","Firearm","Middle school","20-29","Other",18641
"19378",19378,"Men","Firearm","Middle school","30-44","Other",23698
"19379",19379,"Men","Firearm","Middle school","20-29","Street",4309
"19380",19380,"Men","Asphyxiation","Middle school","0-19","Street",23375
"19381",19381,"Men","Firearm","High School or more","20-29","Other",5775
"19382",19382,"Men","Firearm","High School or more","20-29","Street",3082
"19383",19383,"Men","Firearm","High School or more","30-44","Other",28192
"19384",19384,"Men","Other","High School or more","20-29","Other",8502
"19385",19385,"Men","Firearm","Primary or less","30-44","Street",8505
"19386",19386,"Men","Firearm","High School or more","45-69","Street",22288
"19387",19387,"Men","Firearm","Primary or less","20-29","Street",8337
"19388",19388,"Men","Firearm","Middle school","20-29","Street",11138
"19389",19389,"Men","Firearm","High School or more","0-19","Street",3999
"19390",19390,"Men","Asphyxiation","High School or more","30-44","Other",15177
"19391",19391,"Men","Firearm","Primary or less","30-44","Other",17169
"19392",19392,"Men","Firearm","High School or more","30-44","Street",24930
"19393",19393,"Men","Firearm","Middle school","45-69","Street",29135
"19394",19394,"Men","Firearm","Middle school","30-44","Street",24025
"19395",19395,"Men","Firearm","Primary or less","30-44","Street",25602
"19396",19396,"Men","Firearm","High School or more","20-29","Street",7554
"19397",19397,"Men","Firearm","High School or more","20-29","Home",29582
"19398",19398,"Men","Firearm","Middle school","30-44","Home",13644
"19399",19399,"Men","Non-specified means","High School or more","45-69","Street",24429
"19400",19400,"Men","Firearm","Middle school","20-29","Home",22967
"19401",19401,"Men","Firearm","Middle school","20-29","Street",1867
"19402",19402,"Men","Firearm","High School or more","30-44","Home",19300
"19403",19403,"Men","Firearm","Middle school","20-29","Other",13252
"19404",19404,"Men","Firearm","High School or more","20-29","Street",21061
"19405",19405,"Men","Firearm","High School or more","30-44","Other",16374
"19406",19406,"Men","Firearm","Middle school","20-29","Street",13702
"19407",19407,"Men","Knife","Middle school","20-29","Street",8434
"19408",19408,"Men","Firearm","High School or more","30-44","Other",14765
"19409",19409,"Men","Firearm","Middle school","30-44","Street",14300
"19410",19410,"Men","Firearm","Middle school","20-29","Street",24160
"19411",19411,"Men","Firearm","Middle school","20-29","Other",15848
"19412",19412,"Men","Firearm","Middle school","20-29","Street",25353
"19413",19413,"Men","Firearm","Middle school","20-29","Other",11615
"19414",19414,"Men","Firearm","Middle school","20-29","Other",6803
"19415",19415,"Men","Knife","Middle school","45-69","Other",22961
"19416",19416,"Men","Firearm","Primary or less","30-44","Other",4707
"19417",19417,"Men","Firearm","Middle school","30-44","Other",9660
"19418",19418,"Men","Firearm","Middle school","30-44","Other",28001
"19419",19419,"Men","Asphyxiation","Primary or less","0-19","Street",28479
"19420",19420,"Men","Firearm","Middle school","30-44","Street",29763
"19421",19421,"Men","Knife","Primary or less","20-29","Street",12711
"19422",19422,"Men","Firearm","High School or more","30-44","Other",1822
"19423",19423,"Women","Firearm","Middle school","20-29","Other",19917
"19424",19424,"Men","Firearm","High School or more","30-44","Street",14104
"19425",19425,"Men","Firearm","High School or more","30-44","Street",31134
"19426",19426,"Women","Asphyxiation","High School or more","0-19","Home",13651
"19427",19427,"Men","Firearm","Middle school","30-44","Street",27601
"19428",19428,"Women","Firearm","High School or more","30-44","Street",30367
"19429",19429,"Men","Firearm","High School or more","20-29","Other",863
"19430",19430,"Men","Knife","Primary or less","30-44","Street",10319
"19431",19431,"Men","Other","Primary or less","20-29","Home",15173
"19432",19432,"Men","Firearm","Primary or less","45-69","Street",14987
"19433",19433,"Men","Asphyxiation","Primary or less","0-19","Street",5198
"19434",19434,"Men","Firearm","Middle school","45-69","Home",24537
"19435",19435,"Men","Firearm","Primary or less","30-44","Street",31388
"19436",19436,"Men","Firearm","High School or more","30-44","Street",18182
"19437",19437,"Men","Firearm","High School or more","0-19","Street",13245
"19438",19438,"Men","Firearm","High School or more","45-69","Street",20477
"19439",19439,"Men","Non-specified means","High School or more","45-69","Street",30292
"19440",19440,"Men","Firearm","High School or more","30-44","Street",15913
"19441",19441,"Men","Firearm","Middle school","20-29","Street",29739
"19442",19442,"Men","Firearm","Primary or less","30-44","Street",28803
"19443",19443,"Men","Firearm","High School or more","20-29","Home",524
"19444",19444,"Women","Firearm","High School or more","0-19","Other",10620
"19445",19445,"Men","Firearm","Middle school","30-44","Street",15175
"19446",19446,"Men","Firearm","High School or more","30-44","Other",6186
"19447",19447,"Men","Firearm","High School or more","30-44","Street",25838
"19448",19448,"Men","Knife","Middle school","69 +","Home",4438
"19449",19449,"Men","Firearm","Primary or less","45-69","Home",25899
"19450",19450,"Men","Firearm","High School or more","30-44","Street",21613
"19451",19451,"Men","Firearm","High School or more","45-69","Street",925
"19452",19452,"Men","Firearm","Middle school","30-44","Street",8369
"19453",19453,"Men","Firearm","High School or more","30-44","Street",5894
"19454",19454,"Men","Firearm","Middle school","30-44","Home",18201
"19455",19455,"Men","Firearm","Middle school","30-44","Home",28599
"19456",19456,"Men","Firearm","Middle school","20-29","Other",15714
"19457",19457,"Men","Firearm","Middle school","30-44","Street",9412
"19458",19458,"Women","Firearm","Middle school","30-44","Home",18896
"19459",19459,"Men","Firearm","High School or more","20-29","Street",7599
"19460",19460,"Men","Firearm","Middle school","0-19","Street",29189
"19461",19461,"Men","Knife","Middle school","20-29","Other",23345
"19462",19462,"Women","Firearm","High School or more","30-44","Home",10825
"19463",19463,"Men","Firearm","Middle school","20-29","Street",9507
"19464",19464,"Men","Firearm","Middle school","45-69","Other",9418
"19465",19465,"Men","Firearm","Primary or less","20-29","Street",14859
"19466",19466,"Men","Firearm","High School or more","20-29","Street",6081
"19467",19467,"Men","Firearm","Middle school","20-29","Street",6529
"19468",19468,"Men","Firearm","Middle school","20-29","Other",30624
"19469",19469,"Men","Knife","Middle school","30-44","Street",11105
"19470",19470,"Men","Firearm","High School or more","30-44","Street",31203
"19471",19471,"Men","Firearm","Middle school","30-44","Home",10842
"19472",19472,"Men","Knife","Primary or less","69 +","Other",23181
"19473",19473,"Men","Firearm","Middle school","30-44","Street",27545
"19474",19474,"Men","Firearm","Middle school","20-29","Street",11207
"19475",19475,"Men","Firearm","High School or more","30-44","Street",14683
"19476",19476,"Men","Firearm","Middle school","30-44","Street",25135
"19477",19477,"Men","Firearm","Primary or less","20-29","Street",21900
"19478",19478,"Men","Firearm","Middle school","30-44","Other",13863
"19479",19479,"Men","Firearm","Middle school","20-29","Street",1691
"19480",19480,"Women","Firearm","Middle school","30-44","Street",21558
"19481",19481,"Men","Non-specified means","High School or more","20-29","Street",29644
"19482",19482,"Men","Firearm","Primary or less","20-29","Other",6375
"19483",19483,"Men","Firearm","High School or more","20-29","Street",12056
"19484",19484,"Men","Firearm","High School or more","0-19","Street",3234
"19485",19485,"Men","Firearm","High School or more","30-44","Street",1719
"19486",19486,"Men","Knife","Middle school","30-44","Other",13582
"19487",19487,"Men","Firearm","High School or more","45-69","Street",21747
"19488",19488,"Men","Firearm","Middle school","30-44","Street",30225
"19489",19489,"Men","Firearm","Primary or less","30-44","Street",4882
"19490",19490,"Men","Firearm","Middle school","45-69","Street",14459
"19491",19491,"Men","Firearm","High School or more","30-44","Street",4237
"19492",19492,"Men","Firearm","High School or more","20-29","Street",4435
"19493",19493,"Women","Asphyxiation","Middle school","20-29","Home",7414
"19494",19494,"Men","Firearm","High School or more","0-19","Street",25362
"19495",19495,"Men","Firearm","Primary or less","69 +","Street",23153
"19496",19496,"Men","Firearm","High School or more","45-69","Street",14336
"19497",19497,"Men","Firearm","Middle school","30-44","Home",2170
"19498",19498,"Men","Firearm","High School or more","20-29","Street",24920
"19499",19499,"Men","Firearm","Primary or less","30-44","Other",20063
"19500",19500,"Men","Firearm","Middle school","30-44","Street",3264
"19501",19501,"Men","Firearm","High School or more","30-44","Home",6638
"19502",19502,"Men","Firearm","Primary or less","69 +","Other",25139
"19503",19503,"Men","Firearm","Primary or less","69 +","Other",23312
"19504",19504,"Men","Firearm","High School or more","30-44","Other",19653
"19505",19505,"Men","Firearm","High School or more","30-44","Other",18350
"19506",19506,"Men","Firearm","Primary or less","20-29","Other",23635
"19507",19507,"Men","Firearm","High School or more","0-19","Other",30507
"19508",19508,"Men","Firearm","Primary or less","45-69","Street",8455
"19509",19509,"Men","Firearm","High School or more","30-44","Street",23919
"19510",19510,"Men","Firearm","Middle school","30-44","Other",1265
"19511",19511,"Men","Firearm","High School or more","20-29","Street",26717
"19512",19512,"Women","Asphyxiation","Middle school","0-19","Street",17240
"19513",19513,"Men","Non-specified means","Middle school","30-44","Street",14113
"19514",19514,"Women","Firearm","High School or more","30-44","Other",3958
"19515",19515,"Men","Firearm","Middle school","20-29","Other",27419
"19516",19516,"Men","Firearm","Middle school","30-44","Street",18282
"19517",19517,"Men","Firearm","High School or more","30-44","Other",24043
"19518",19518,"Men","Firearm","High School or more","30-44","Street",12710
"19519",19519,"Men","Firearm","High School or more","20-29","Street",3054
"19520",19520,"Men","Firearm","High School or more","30-44","Street",2911
"19521",19521,"Men","Firearm","Primary or less","20-29","Street",8666
"19522",19522,"Men","Firearm","High School or more","45-69","Other",22246
"19523",19523,"Men","Knife","Middle school","45-69","Other",7456
"19524",19524,"Men","Firearm","Middle school","20-29","Street",26178
"19525",19525,"Men","Knife","Primary or less","20-29","Other",31898
"19526",19526,"Men","Non-specified means","High School or more","30-44","Street",25816
"19527",19527,"Men","Firearm","High School or more","30-44","Street",15777
"19528",19528,"Men","Firearm","Middle school","30-44","Street",24257
"19529",19529,"Men","Firearm","Primary or less","45-69","Street",1407
"19530",19530,"Women","Asphyxiation","Primary or less","0-19","Other",16799
"19531",19531,"Men","Firearm","Middle school","0-19","Other",16067
"19532",19532,"Men","Firearm","Middle school","0-19","Street",22499
"19533",19533,"Men","Firearm","Middle school","45-69","Street",20094
"19534",19534,"Men","Non-specified means","High School or more","45-69","Other",12837
"19535",19535,"Men","Firearm","High School or more","30-44","Other",15455
"19536",19536,"Men","Knife","High School or more","20-29","Other",24539
"19537",19537,"Men","Firearm","High School or more","20-29","Street",20174
"19538",19538,"Men","Firearm","Middle school","30-44","Other",7668
"19539",19539,"Men","Firearm","Middle school","45-69","Other",30783
"19540",19540,"Men","Firearm","Middle school","20-29","Other",13895
"19541",19541,"Men","Firearm","Middle school","45-69","Street",18522
"19542",19542,"Men","Firearm","High School or more","45-69","Street",14651
"19543",19543,"Men","Firearm","Middle school","30-44","Street",18890
"19544",19544,"Men","Firearm","Middle school","30-44","Other",24973
"19545",19545,"Men","Firearm","Middle school","30-44","Street",15187
"19546",19546,"Men","Firearm","High School or more","30-44","Street",26940
"19547",19547,"Men","Firearm","Primary or less","69 +","Street",26082
"19548",19548,"Men","Firearm","High School or more","20-29","Street",17467
"19549",19549,"Men","Asphyxiation","High School or more","30-44","Other",19466
"19550",19550,"Men","Firearm","Middle school","30-44","Street",25061
"19551",19551,"Men","Firearm","Middle school","30-44","Street",10267
"19552",19552,"Men","Firearm","Middle school","20-29","Street",30091
"19553",19553,"Men","Firearm","High School or more","30-44","Home",2441
"19554",19554,"Men","Firearm","Middle school","30-44","Street",20455
"19555",19555,"Men","Firearm","High School or more","45-69","Street",23921
"19556",19556,"Men","Firearm","Middle school","30-44","Street",19748
"19557",19557,"Men","Firearm","High School or more","30-44","Street",3044
"19558",19558,"Men","Firearm","Middle school","30-44","Home",409
"19559",19559,"Men","Firearm","High School or more","45-69","Home",4106
"19560",19560,"Women","Firearm","Middle school","20-29","Other",23249
"19561",19561,"Men","Firearm","High School or more","20-29","Street",19795
"19562",19562,"Men","Firearm","Middle school","30-44","Street",25017
"19563",19563,"Men","Firearm","High School or more","20-29","Street",24123
"19564",19564,"Men","Firearm","Middle school","30-44","Street",28339
"19565",19565,"Men","Firearm","High School or more","45-69","Other",4448
"19566",19566,"Men","Firearm","Middle school","30-44","Other",11011
"19567",19567,"Men","Firearm","High School or more","20-29","Home",30485
"19568",19568,"Men","Firearm","High School or more","20-29","Street",6985
"19569",19569,"Men","Firearm","Primary or less","30-44","Street",31264
"19570",19570,"Men","Firearm","Middle school","0-19","Other",16615
"19571",19571,"Men","Firearm","Middle school","45-69","Street",24149
"19572",19572,"Men","Firearm","High School or more","20-29","Street",11253
"19573",19573,"Men","Firearm","Middle school","45-69","Street",5320
"19574",19574,"Men","Firearm","Middle school","30-44","Street",26232
"19575",19575,"Men","Firearm","Middle school","0-19","Other",7073
"19576",19576,"Men","Other","Middle school","30-44","Other",20714
"19577",19577,"Men","Firearm","High School or more","45-69","Other",7116
"19578",19578,"Men","Firearm","Primary or less","20-29","Street",26725
"19579",19579,"Men","Firearm","Middle school","45-69","Street",15593
"19580",19580,"Men","Firearm","Primary or less","45-69","Street",15818
"19581",19581,"Men","Firearm","High School or more","20-29","Home",249
"19582",19582,"Men","Firearm","Middle school","20-29","Home",21602
"19583",19583,"Men","Non-specified means","High School or more","20-29","Street",17641
"19584",19584,"Men","Firearm","Middle school","20-29","Street",22824
"19585",19585,"Men","Firearm","High School or more","30-44","Other",23508
"19586",19586,"Men","Firearm","Middle school","45-69","Street",8962
"19587",19587,"Men","Firearm","Middle school","30-44","Home",30995
"19588",19588,"Men","Firearm","High School or more","20-29","Street",11
"19589",19589,"Men","Firearm","Middle school","20-29","Other",6444
"19590",19590,"Men","Firearm","High School or more","20-29","Other",29594
"19591",19591,"Men","Non-specified means","High School or more","30-44","Street",18951
"19592",19592,"Women","Firearm","High School or more","30-44","Home",2302
"19593",19593,"Men","Knife","High School or more","30-44","Street",31453
"19594",19594,"Men","Knife","High School or more","20-29","Home",7743
"19595",19595,"Men","Firearm","High School or more","30-44","Street",29874
"19596",19596,"Men","Non-specified means","Middle school","45-69","Street",4862
"19597",19597,"Men","Firearm","Middle school","30-44","Street",2626
"19598",19598,"Women","Firearm","High School or more","30-44","Street",16806
"19599",19599,"Men","Firearm","Middle school","45-69","Street",19434
"19600",19600,"Men","Firearm","Middle school","20-29","Street",25344
"19601",19601,"Men","Knife","High School or more","20-29","Street",19791
"19602",19602,"Men","Firearm","High School or more","30-44","Street",18576
"19603",19603,"Men","Firearm","High School or more","30-44","Street",8441
"19604",19604,"Men","Firearm","Middle school","30-44","Other",15207
"19605",19605,"Men","Asphyxiation","High School or more","20-29","Other",20821
"19606",19606,"Men","Firearm","Primary or less","20-29","Street",22035
"19607",19607,"Men","Firearm","Middle school","20-29","Street",23761
"19608",19608,"Men","Firearm","Middle school","69 +","Home",9948
"19609",19609,"Men","Firearm","High School or more","30-44","Street",13916
"19610",19610,"Women","Firearm","High School or more","20-29","Street",11875
"19611",19611,"Men","Firearm","High School or more","0-19","Street",29982
"19612",19612,"Men","Non-specified means","Primary or less","45-69","Street",8884
"19613",19613,"Men","Firearm","Middle school","30-44","Street",31468
"19614",19614,"Men","Firearm","High School or more","30-44","Street",20604
"19615",19615,"Men","Knife","Middle school","30-44","Other",19410
"19616",19616,"Men","Firearm","High School or more","45-69","Street",26554
"19617",19617,"Men","Asphyxiation","High School or more","20-29","Other",29094
"19618",19618,"Men","Firearm","Middle school","30-44","Other",11091
"19619",19619,"Men","Firearm","High School or more","30-44","Street",5706
"19620",19620,"Men","Firearm","Middle school","20-29","Street",8289
"19621",19621,"Men","Firearm","Primary or less","0-19","Street",7374
"19622",19622,"Men","Firearm","Middle school","20-29","Other",21018
"19623",19623,"Men","Firearm","High School or more","20-29","Other",26045
"19624",19624,"Men","Firearm","Middle school","30-44","Street",11975
"19625",19625,"Men","Firearm","High School or more","20-29","Other",12328
"19626",19626,"Men","Firearm","High School or more","45-69","Home",20691
"19627",19627,"Men","Asphyxiation","High School or more","20-29","Home",7142
"19628",19628,"Men","Firearm","Middle school","20-29","Street",19907
"19629",19629,"Men","Non-specified means","High School or more","45-69","Street",17612
"19630",19630,"Men","Firearm","High School or more","30-44","Street",4712
"19631",19631,"Men","Firearm","High School or more","30-44","Street",29355
"19632",19632,"Men","Firearm","High School or more","20-29","Street",26170
"19633",19633,"Men","Firearm","High School or more","45-69","Other",26703
"19634",19634,"Men","Firearm","Primary or less","30-44","Street",21294
"19635",19635,"Men","Firearm","Middle school","20-29","Other",15298
"19636",19636,"Men","Firearm","Middle school","30-44","Home",5510
"19637",19637,"Men","Firearm","High School or more","30-44","Street",17042
"19638",19638,"Men","Firearm","Middle school","20-29","Street",518
"19639",19639,"Men","Firearm","Middle school","30-44","Street",16308
"19640",19640,"Men","Firearm","Middle school","30-44","Street",917
"19641",19641,"Men","Asphyxiation","High School or more","0-19","Street",1742
"19642",19642,"Men","Firearm","Middle school","0-19","Other",987
"19643",19643,"Men","Non-specified means","Middle school","45-69","Street",30491
"19644",19644,"Men","Firearm","High School or more","30-44","Home",3841
"19645",19645,"Men","Firearm","Middle school","30-44","Street",5948
"19646",19646,"Men","Knife","Middle school","45-69","Street",21607
"19647",19647,"Men","Firearm","Middle school","20-29","Street",5349
"19648",19648,"Men","Other","Middle school","45-69","Street",23396
"19649",19649,"Men","Firearm","High School or more","30-44","Street",19417
"19650",19650,"Men","Firearm","High School or more","0-19","Street",24997
"19651",19651,"Men","Firearm","Middle school","30-44","Street",28083
"19652",19652,"Men","Firearm","Primary or less","69 +","Street",22996
"19653",19653,"Men","Firearm","Primary or less","0-19","Other",10921
"19654",19654,"Men","Firearm","Middle school","30-44","Street",27729
"19655",19655,"Men","Firearm","Middle school","30-44","Other",24385
"19656",19656,"Men","Firearm","High School or more","30-44","Street",28703
"19657",19657,"Men","Knife","Middle school","20-29","Other",15493
"19658",19658,"Men","Knife","Middle school","45-69","Other",22911
"19659",19659,"Men","Knife","High School or more","30-44","Other",16528
"19660",19660,"Men","Non-specified means","Middle school","69 +","Street",17526
"19661",19661,"Men","Firearm","Middle school","20-29","Street",26139
"19662",19662,"Men","Firearm","Middle school","45-69","Home",6290
"19663",19663,"Men","Firearm","High School or more","20-29","Street",9767
"19664",19664,"Women","Firearm","High School or more","0-19","Street",21686
"19665",19665,"Men","Firearm","Middle school","45-69","Other",12116
"19666",19666,"Men","Asphyxiation","Middle school","45-69","Home",21518
"19667",19667,"Men","Firearm","High School or more","30-44","Home",4174
"19668",19668,"Men","Firearm","Middle school","30-44","Street",14227
"19669",19669,"Men","Firearm","Middle school","30-44","Other",26817
"19670",19670,"Men","Firearm","Primary or less","30-44","Street",16447
"19671",19671,"Women","Firearm","Middle school","45-69","Street",23495
"19672",19672,"Men","Knife","Middle school","0-19","Other",29084
"19673",19673,"Men","Firearm","High School or more","0-19","Street",26715
"19674",19674,"Men","Firearm","Middle school","20-29","Other",24941
"19675",19675,"Men","Firearm","Middle school","0-19","Street",8843
"19676",19676,"Men","Firearm","High School or more","30-44","Street",23333
"19677",19677,"Men","Firearm","Middle school","20-29","Street",1253
"19678",19678,"Men","Non-specified means","High School or more","30-44","Other",6980
"19679",19679,"Men","Firearm","High School or more","45-69","Street",12943
"19680",19680,"Men","Firearm","Middle school","30-44","Street",8862
"19681",19681,"Men","Firearm","Middle school","20-29","Street",11860
"19682",19682,"Men","Firearm","High School or more","20-29","Street",28181
"19683",19683,"Men","Knife","Middle school","30-44","Street",29360
"19684",19684,"Men","Firearm","High School or more","30-44","Street",16071
"19685",19685,"Men","Firearm","High School or more","30-44","Street",681
"19686",19686,"Women","Knife","High School or more","20-29","Street",5835
"19687",19687,"Men","Firearm","Middle school","30-44","Street",25509
"19688",19688,"Men","Firearm","High School or more","30-44","Street",23313
"19689",19689,"Men","Firearm","High School or more","20-29","Street",18346
"19690",19690,"Men","Firearm","High School or more","45-69","Street",20623
"19691",19691,"Men","Firearm","High School or more","20-29","Street",29358
"19692",19692,"Men","Firearm","High School or more","30-44","Street",31047
"19693",19693,"Men","Firearm","Primary or less","20-29","Other",31638
"19694",19694,"Men","Firearm","High School or more","20-29","Street",29300
"19695",19695,"Men","Firearm","High School or more","30-44","Street",31721
"19696",19696,"Men","Firearm","Middle school","45-69","Street",729
"19697",19697,"Men","Firearm","Middle school","30-44","Street",20183
"19698",19698,"Men","Non-specified means","Middle school","45-69","Other",20629
"19699",19699,"Men","Firearm","High School or more","45-69","Street",7607
"19700",19700,"Men","Other","Middle school","20-29","Street",12194
"19701",19701,"Men","Firearm","Middle school","0-19","Street",1259
"19702",19702,"Men","Firearm","High School or more","20-29","Home",11693
"19703",19703,"Men","Firearm","Primary or less","30-44","Home",4625
"19704",19704,"Men","Firearm","Middle school","45-69","Other",28436
"19705",19705,"Men","Firearm","High School or more","30-44","Street",27088
"19706",19706,"Men","Non-specified means","Middle school","45-69","Street",25324
"19707",19707,"Men","Firearm","Middle school","30-44","Street",3111
"19708",19708,"Men","Firearm","High School or more","30-44","Street",30235
"19709",19709,"Men","Firearm","High School or more","30-44","Other",29456
"19710",19710,"Men","Knife","Middle school","45-69","Other",31362
"19711",19711,"Men","Firearm","High School or more","20-29","Street",2866
"19712",19712,"Men","Firearm","High School or more","30-44","Street",20309
"19713",19713,"Men","Firearm","Primary or less","45-69","Street",2261
"19714",19714,"Men","Firearm","High School or more","30-44","Street",16007
"19715",19715,"Women","Knife","High School or more","20-29","Home",8670
"19716",19716,"Men","Asphyxiation","Middle school","45-69","Other",4445
"19717",19717,"Men","Firearm","Middle school","20-29","Other",31441
"19718",19718,"Men","Firearm","Middle school","30-44","Street",23665
"19719",19719,"Men","Firearm","Middle school","30-44","Home",16359
"19720",19720,"Men","Knife","Primary or less","0-19","Home",14121
"19721",19721,"Men","Knife","Middle school","45-69","Other",18601
"19722",19722,"Men","Knife","Primary or less","0-19","Home",12708
"19723",19723,"Men","Firearm","High School or more","45-69","Street",31681
"19724",19724,"Men","Firearm","High School or more","30-44","Other",5994
"19725",19725,"Men","Firearm","Middle school","20-29","Street",25743
"19726",19726,"Men","Firearm","High School or more","20-29","Street",29151
"19727",19727,"Men","Firearm","Primary or less","30-44","Home",21527
"19728",19728,"Men","Firearm","Middle school","30-44","Street",30157
"19729",19729,"Men","Firearm","Primary or less","20-29","Street",12191
